Namespace(batch_size=12, class_choice=None, dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='part_seg', k=40, lr=0.001, model='dgcnn', model_path='/home/huijie/research/EECS542/FM-3DNet/part_seg/models/40.pth', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=12, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Test 32, loss: 1.869231, test acc: 0.687804, test avg acc: 0.428497, test iou: 0.470767
Train 33, loss: 1.853827, train acc: 0.706232, train avg acc: 0.421493, train iou: 0.483886
Test 33, loss: 1.839295, test acc: 0.718194, test avg acc: 0.417939, test iou: 0.505136
Train 34, loss: 1.856402, train acc: 0.704926, train avg acc: 0.423955, train iou: 0.482457
Test 34, loss: 1.898622, test acc: 0.686455, test avg acc: 0.399836, test iou: 0.474019
Train 35, loss: 1.858703, train acc: 0.703741, train avg acc: 0.418142, train iou: 0.481717
Test 35, loss: 1.869793, test acc: 0.708033, test avg acc: 0.416245, test iou: 0.484443
Train 36, loss: 1.872539, train acc: 0.699290, train avg acc: 0.414130, train iou: 0.476386
Test 36, loss: 1.833332, test acc: 0.724312, test avg acc: 0.438828, test iou: 0.519231
Train 37, loss: 1.854227, train acc: 0.703620, train avg acc: 0.419517, train iou: 0.480568
Test 37, loss: 1.838188, test acc: 0.707222, test avg acc: 0.414555, test iou: 0.501241
Train 38, loss: 1.862918, train acc: 0.703619, train avg acc: 0.417910, train iou: 0.482737
Test 38, loss: 1.841562, test acc: 0.719633, test avg acc: 0.420019, test iou: 0.513427
Train 39, loss: 1.845633, train acc: 0.708497, train avg acc: 0.422767, train iou: 0.486602
Test 39, loss: 1.828844, test acc: 0.723084, test avg acc: 0.422798, test iou: 0.519614
Train 40, loss: 1.856239, train acc: 0.706378, train avg acc: 0.422616, train iou: 0.484523
Test 40, loss: 1.858143, test acc: 0.704992, test avg acc: 0.417681, test iou: 0.480301
Train 41, loss: 1.857471, train acc: 0.704776, train avg acc: 0.419972, train iou: 0.481932
Test 41, loss: 1.860512, test acc: 0.691272, test avg acc: 0.409926, test iou: 0.468882
Train 42, loss: 1.855865, train acc: 0.705208, train avg acc: 0.419868, train iou: 0.482584
Test 42, loss: 1.842581, test acc: 0.705514, test avg acc: 0.418248, test iou: 0.487247
Train 43, loss: 1.859631, train acc: 0.703186, train avg acc: 0.419552, train iou: 0.481173
Test 43, loss: 1.895470, test acc: 0.679412, test avg acc: 0.421031, test iou: 0.478114
Train 44, loss: 1.859972, train acc: 0.704501, train avg acc: 0.419550, train iou: 0.482840
Test 44, loss: 1.822729, test acc: 0.713656, test avg acc: 0.420731, test iou: 0.495825
Train 45, loss: 1.852334, train acc: 0.705973, train avg acc: 0.422763, train iou: 0.483074
Test 45, loss: 1.859980, test acc: 0.686978, test avg acc: 0.422328, test iou: 0.488720
Train 46, loss: 1.847159, train acc: 0.708298, train avg acc: 0.425674, train iou: 0.486164
Test 46, loss: 1.870115, test acc: 0.684261, test avg acc: 0.428206, test iou: 0.491252
Train 47, loss: 1.859434, train acc: 0.703941, train avg acc: 0.419235, train iou: 0.481762
Test 47, loss: 1.868570, test acc: 0.676513, test avg acc: 0.429790, test iou: 0.483640
Train 48, loss: 1.850292, train acc: 0.707001, train avg acc: 0.422983, train iou: 0.484835
Test 48, loss: 1.828931, test acc: 0.716193, test avg acc: 0.430196, test iou: 0.514557
Train 49, loss: 1.841995, train acc: 0.710160, train avg acc: 0.425334, train iou: 0.488340
Test 49, loss: 1.817548, test acc: 0.726108, test avg acc: 0.433640, test iou: 0.520023
Train 50, loss: 1.859671, train acc: 0.703735, train avg acc: 0.420418, train iou: 0.481783
Test 50, loss: 1.886131, test acc: 0.688230, test avg acc: 0.405362, test iou: 0.475229
Train 51, loss: 1.851699, train acc: 0.707185, train avg acc: 0.424781, train iou: 0.485034
Test 51, loss: 1.827114, test acc: 0.721242, test avg acc: 0.436243, test iou: 0.523073
Train 52, loss: 1.850759, train acc: 0.707203, train avg acc: 0.423765, train iou: 0.485339
Test 52, loss: 1.839710, test acc: 0.710613, test avg acc: 0.430046, test iou: 0.498034
Train 53, loss: 1.845143, train acc: 0.709834, train avg acc: 0.425338, train iou: 0.487424
Test 53, loss: 1.829568, test acc: 0.716925, test avg acc: 0.429893, test iou: 0.503259
Train 54, loss: 1.851706, train acc: 0.706981, train avg acc: 0.422713, train iou: 0.484904
Test 54, loss: 1.849745, test acc: 0.705394, test avg acc: 0.433683, test iou: 0.500404
Train 55, loss: 1.841815, train acc: 0.710289, train avg acc: 0.425289, train iou: 0.488912
Test 55, loss: 1.820327, test acc: 0.713416, test avg acc: 0.425718, test iou: 0.498787
Train 56, loss: 1.851904, train acc: 0.707695, train avg acc: 0.424564, train iou: 0.485183
Test 56, loss: 1.853850, test acc: 0.704961, test avg acc: 0.443685, test iou: 0.511232
Train 57, loss: 1.850321, train acc: 0.706455, train avg acc: 0.421658, train iou: 0.484549
Test 57, loss: 1.825034, test acc: 0.709327, test avg acc: 0.432282, test iou: 0.502090
Train 58, loss: 1.840831, train acc: 0.710739, train avg acc: 0.425114, train iou: 0.489114
Test 58, loss: 1.843060, test acc: 0.698083, test avg acc: 0.431323, test iou: 0.501269
Train 59, loss: 1.852131, train acc: 0.708659, train avg acc: 0.424566, train iou: 0.487099
Test 59, loss: 1.824192, test acc: 0.710286, test avg acc: 0.418757, test iou: 0.494623
Train 60, loss: 1.850553, train acc: 0.706633, train avg acc: 0.423580, train iou: 0.484485
Test 60, loss: 1.824952, test acc: 0.711014, test avg acc: 0.427613, test iou: 0.503364
Train 61, loss: 1.841639, train acc: 0.710613, train avg acc: 0.428178, train iou: 0.489145
Test 61, loss: 1.847525, test acc: 0.706779, test avg acc: 0.420963, test iou: 0.485931
Train 62, loss: 1.849747, train acc: 0.710655, train avg acc: 0.425495, train iou: 0.488333
Test 62, loss: 1.813146, test acc: 0.717181, test avg acc: 0.426617, test iou: 0.509380
Train 63, loss: 1.848731, train acc: 0.707848, train avg acc: 0.424501, train iou: 0.486402
Test 63, loss: 1.843018, test acc: 0.718154, test avg acc: 0.440566, test iou: 0.515523
Train 64, loss: 1.850947, train acc: 0.707327, train avg acc: 0.423186, train iou: 0.484680
Test 64, loss: 1.821578, test acc: 0.725593, test avg acc: 0.432561, test iou: 0.509641
Train 65, loss: 1.844980, train acc: 0.709662, train avg acc: 0.427375, train iou: 0.487575
Test 65, loss: 1.837861, test acc: 0.718620, test avg acc: 0.429136, test iou: 0.514811
Train 66, loss: 1.840572, train acc: 0.711809, train avg acc: 0.428421, train iou: 0.489323
Test 66, loss: 1.819616, test acc: 0.712427, test avg acc: 0.452882, test iou: 0.518562
Train 67, loss: 1.856650, train acc: 0.708581, train avg acc: 0.424989, train iou: 0.487880
Test 67, loss: 1.863058, test acc: 0.691917, test avg acc: 0.409893, test iou: 0.471715
Train 68, loss: 1.835813, train acc: 0.713162, train avg acc: 0.427994, train iou: 0.492294
Test 68, loss: 1.803684, test acc: 0.738311, test avg acc: 0.463455, test iou: 0.541164
Train 69, loss: 1.837053, train acc: 0.713226, train avg acc: 0.429594, train iou: 0.492596
Test 69, loss: 1.806546, test acc: 0.733457, test avg acc: 0.454204, test iou: 0.540113
Train 70, loss: 1.843919, train acc: 0.711574, train avg acc: 0.428313, train iou: 0.490504
Test 70, loss: 1.830574, test acc: 0.719206, test avg acc: 0.440806, test iou: 0.510102
Train 71, loss: 1.841663, train acc: 0.713001, train avg acc: 0.428647, train iou: 0.491853
Test 71, loss: 1.887407, test acc: 0.658429, test avg acc: 0.438623, test iou: 0.478277
Train 72, loss: 1.831858, train acc: 0.716013, train avg acc: 0.431370, train iou: 0.494814
Test 72, loss: 1.798858, test acc: 0.721077, test avg acc: 0.434671, test iou: 0.501440
Train 73, loss: 1.841433, train acc: 0.714358, train avg acc: 0.429236, train iou: 0.493138
Test 73, loss: 1.848947, test acc: 0.722065, test avg acc: 0.444099, test iou: 0.525403
Train 74, loss: 1.835730, train acc: 0.715756, train avg acc: 0.429375, train iou: 0.494222
Test 74, loss: 1.802927, test acc: 0.723821, test avg acc: 0.423376, test iou: 0.506101
Train 75, loss: 1.841823, train acc: 0.713479, train avg acc: 0.429548, train iou: 0.491753
Test 75, loss: 1.822704, test acc: 0.709581, test avg acc: 0.416720, test iou: 0.488664
Train 76, loss: 1.833204, train acc: 0.715609, train avg acc: 0.431216, train iou: 0.494180
Test 76, loss: 1.826999, test acc: 0.704143, test avg acc: 0.433410, test iou: 0.482487
Train 77, loss: 1.838171, train acc: 0.715847, train avg acc: 0.430254, train iou: 0.496223
Test 77, loss: 1.814175, test acc: 0.717028, test avg acc: 0.451882, test iou: 0.508919
Train 78, loss: 1.834667, train acc: 0.715882, train avg acc: 0.431105, train iou: 0.495911
Test 78, loss: 1.810636, test acc: 0.722023, test avg acc: 0.440956, test iou: 0.524500
Train 79, loss: 1.837758, train acc: 0.714838, train avg acc: 0.430282, train iou: 0.494098
Test 79, loss: 1.834072, test acc: 0.712506, test avg acc: 0.421001, test iou: 0.500316
Train 80, loss: 1.834978, train acc: 0.716759, train avg acc: 0.430142, train iou: 0.496744
Test 80, loss: 1.822992, test acc: 0.716378, test avg acc: 0.435296, test iou: 0.523322
Train 81, loss: 1.836003, train acc: 0.715605, train avg acc: 0.429632, train iou: 0.495055
Test 81, loss: 1.861732, test acc: 0.685049, test avg acc: 0.409471, test iou: 0.468776
Train 82, loss: 1.828522, train acc: 0.718941, train avg acc: 0.433699, train iou: 0.498379
Test 82, loss: 1.815094, test acc: 0.723969, test avg acc: 0.447751, test iou: 0.518999
